                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.73878,                0.45542,                 1.2697,                0.99749,                0.97436,                0.99273,                0.76275,                0.95656,                0.46302,                 1.7682,              0.0004952,              0.0004952,              0.0004952
                     78,                0.69831,                 0.4541,                 1.2393,                0.99748,                0.97436,                   0.99,                0.76752,                0.92284,                0.46449,                 1.6998,              0.0004754,              0.0004754,              0.0004754
                     79,                0.69895,                0.43475,                 1.2403,                  0.998,                0.97436,                0.98918,                0.76699,                0.88611,                0.45239,                 1.6666,              0.0004556,              0.0004556,              0.0004556
                     80,                0.66643,                0.43069,                 1.2544,                0.97497,                0.99894,                 0.9945,                0.75855,                0.94044,                0.48698,                 1.8099,              0.0004358,              0.0004358,              0.0004358
                     81,                0.74995,                0.46724,                 1.3189,                0.97443,                      1,                0.99375,                0.74789,                0.96506,                0.46022,                 1.8416,               0.000416,               0.000416,               0.000416
                     82,                0.72561,                0.43823,                 1.2684,                0.97172,                      1,                 0.9945,                0.75791,                0.93268,                0.41191,                 1.7558,              0.0003962,              0.0003962,              0.0003962
                     83,                0.70085,                0.43422,                  1.217,                0.97492,                0.99698,                 0.9945,                0.77368,                 0.8921,                0.39728,                 1.7055,              0.0003764,              0.0003764,              0.0003764
                     84,                0.67759,                0.42108,                 1.2363,                0.99703,                0.97436,                0.99402,                0.79127,                 0.8447,                0.41628,                 1.6601,              0.0003566,              0.0003566,              0.0003566
                     85,                0.66168,                 0.3914,                  1.215,                0.99796,                0.97436,                0.99402,                0.77671,                0.84787,                0.40831,                 1.6786,              0.0003368,              0.0003368,              0.0003368
                     86,                0.67384,                0.41912,                 1.2246,                      1,                0.99849,                  0.995,                0.76762,                0.89308,                0.40901,                 1.7427,               0.000317,               0.000317,               0.000317
                     87,                0.61058,                0.41323,                 1.1719,                      1,                0.99929,                  0.995,                0.76879,                0.92463,                0.39727,                 1.7996,              0.0002972,              0.0002972,              0.0002972
                     88,                0.64745,                 0.3975,                 1.2312,                      1,                 0.9992,                  0.995,                0.76845,                0.91682,                0.39205,                 1.7988,              0.0002774,              0.0002774,              0.0002774
                     89,                0.63943,                0.38791,                 1.2021,                      1,                0.99904,                  0.995,                0.77906,                0.90659,                 0.3795,                  1.773,              0.0002576,              0.0002576,              0.0002576
                     90,                0.64629,                0.41666,                 1.2164,                      1,                0.99865,                  0.995,                0.77167,                0.87996,                0.37105,                 1.7409,              0.0002378,              0.0002378,              0.0002378
                     91,                0.54249,                0.37523,                 1.2243,                      1,                0.99867,                  0.995,                0.76098,                0.89144,                0.36123,                 1.7444,               0.000218,               0.000218,               0.000218
                     92,                0.48856,                0.35269,                 1.2383,                      1,                0.99864,                  0.995,                0.77131,                0.91305,                0.36509,                 1.7524,              0.0001982,              0.0001982,              0.0001982
                     93,                0.49567,                0.32268,                 1.2214,                      1,                0.99861,                  0.995,                0.77315,                0.89269,                 0.3596,                 1.7153,              0.0001784,              0.0001784,              0.0001784
                     94,                0.45386,                0.31853,                 1.1986,                      1,                0.99852,                  0.995,                0.79049,                0.86103,                0.35376,                 1.6719,              0.0001586,              0.0001586,              0.0001586
                     95,                0.44542,                0.30181,                 1.1834,                      1,                0.99842,                  0.995,                0.79172,                0.85761,                0.35855,                 1.6651,              0.0001388,              0.0001388,              0.0001388
                     96,                0.43984,                0.28952,                 1.1557,                      1,                 0.9985,                  0.995,                0.79487,                0.87031,                0.35486,                 1.6694,               0.000119,               0.000119,               0.000119
                     97,                0.42261,                0.27397,                 1.1624,                      1,                0.99839,                  0.995,                0.80141,                 0.8677,                0.36053,                 1.6652,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.40793,                0.27086,                 1.1727,                      1,                0.99839,                  0.995,                0.79682,                0.87357,                0.36381,                 1.6732,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.41631,                0.27448,                 1.1385,                      1,                0.99834,                  0.995,                0.80149,                0.87843,                0.37476,                 1.6838,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.43675,                0.27651,                 1.1364,                      1,                0.99837,                  0.995,                0.79868,                0.87274,                0.37935,                 1.6895,               3.98e-05,               3.98e-05,               3.98e-05
